id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
005e2187-2911-48dd-b7be-256978f9f185,workfromhome.date,available,5.25,6.25,51,16,14,namesilo,,
0076a190-6e17-4753-afa4-54c329663520,IslesofScilly.date,available,9.98,,52,1,15,namecheap,,
00843014-8e40-42db-8f58-632fedc364b4,grandkids.date,premium,375,,66,3,9,name.com,,
0091089d-7bd1-449e-8257-664503f83b39,settings.date,premium,375,,52,12,8,name.com,,
01077c5f-13dd-436d-a3c1-081fe248b756,mealsonwheels.date,available,9.98,,80,5,15,namecheap,,
010ca522-2a48-45ca-89a3-e5e6b1f15d45,CountyTyrone.date,premium,140,35,42,2,13,namecheap,,
0172efdc-df0b-4683-a89f-e9611cc56317,conductcode.date,available,9.98,,50,1,12,namecheap,,
01747454-7c5d-4259-a274-c0acac95a463,remedied.date,available,9.98,,58,1,8,namecheap,,
0182174f-e9a5-41f8-ba5c-036b6d97eb59,drums.date,available,9.98,,54,11,5,namecheap,,
01882104-9568-47e5-95b2-fc8d041f7e97,herbs.date,premium,125,,62,22,5,name.com,,
018d5ca1-abdc-43ba-873f-5d23167df296,getstuckin.date,available,9.98,,72,2,12,namecheap,,
01b898c0-9686-44d3-bed2-8de57e6d6a8d,comeup.date,available,9.98,,74,5,7,namecheap,,
01bd37f2-1fae-457e-963a-c463624c7912,goquietly.date,available,9.98,,66,1,10,namecheap,,
01def48a-9557-4664-845c-f1c1056def2a,rakeover.date,available,9.98,,66,1,9,namecheap,,
01f49dc2-190d-4282-a4a8-04b0d4bb26cd,beridof.date,available,9.98,,46,1,9,namecheap,,
01fb8e0f-3413-44c6-895b-7802ae1abde6,MiddleEasterner.date,available,9.98,,62,1,16,namecheap,,
01fbeb19-30ad-4663-a6e8-02347529a645,gobythewayside.date,available,9.98,,62,1,17,namecheap,,
0236a414-32af-4e25-b704-4e72af85017e,aunts.date,available,9.98,,54,2,5,namecheap,,
023bbb3f-db16-4ded-ac30-22984e452512,getovertheline.date,available,9.98,,69,1,17,namecheap,,
024ab13b-a490-41f1-b633-6ed49a8d9a40,superhero.date,premium,375,,84,23,9,name.com,,
0255b37a-a8ed-4f24-99cc-ee620a1fa275,officemanager.date,available,9.98,,49,5,14,namecheap,,
025e1dd0-de22-49c9-943b-a18ecd9cc901,returns.date,premium,375,,72,16,7,name.com,,
0285d851-c6e8-4efc-a14e-1dd10e30a386,blazeaway.date,premium,375,,76,1,10,name.com,,
0296317a-2e4a-4827-ace3-77157ccebeed,tobetruthful.date,available,9.98,,46,1,14,namecheap,,
029aad84-2398-470d-934b-fe736d66dd8f,herbalmedicines.date,available,9.98,,52,2,16,namecheap,,
02a1c828-dc67-4f8e-aec0-3ddaaec06478,attentions.date,available,5.25,6.25,54,4,10,namesilo,,
02fa15e5-7704-44f5-8cd1-0166ddadb4b4,steerclear.date,premium,375,,80,2,11,name.com,,
031771e5-f4d0-4621-bb18-d48453bd3686,publicoffice.date,available,9.98,,69,2,13,namecheap,,
037c40db-2be1-418d-8a25-4df29920b78a,AcademyAward.date,available,9.98,,76,1,13,namecheap,,
038fd426-5a79-46e4-b94c-516c81a2ce7d,demonstrated.date,premium,125,,68,3,12,name.com,,
0397c710-843a-435f-bde6-fb6ce4a81721,deeppockets.date,available,9.98,,78,3,12,namecheap,,
039d7b22-6f33-4ed0-978b-cc0b0504f600,doesnotcompute.date,available,9.98,,40,3,16,namecheap,,
03cff26e-a02c-4321-85a9-c9d9146ab333,sterilization.date,available,9.98,,66,3,13,namecheap,,
03cff3ed-e5c3-40bd-ac1c-c73daaa15620,pierogi.date,available,9.98,,82,7,7,namecheap,,
03f8c218-c819-4779-81db-119a325e5809,rolemodel.date,premium,375,,85,6,10,name.com,,
0403a19b-cf6b-4a6b-b605-5bfa865a6f28,Caliorbust.date,available,9.98,,56,1,12,namecheap,,
0463274d-2ffd-42a2-bf36-a3430c17c29a,teaspoonful.date,available,9.98,,66,1,11,namecheap,,
046c3032-60df-4bca-8ec3-622011c4b7c3,letthedevilout.date,available,9.98,,62,1,17,namecheap,,
04803db9-9913-4a58-9f49-0f9e91ab8df4,votes.date,premium,375,,60,11,5,name.com,,
04b22f0e-1f24-4c97-8eba-4a62f44a1057,gets.date,premium,375,,60,15,4,name.com,,
04c54b1b-01f7-41e4-880a-32c585fada6b,holdings.date,available,9.98,,52,14,8,namecheap,,
04e3cd38-907a-4509-a578-52ef3bb53297,grams.date,available,9.98,,70,12,5,namecheap,,
04ee564b-744b-456b-9c30-e74668c51263,reached.date,available,9.98,,62,7,7,namecheap,,
04f0117d-b8f0-447d-98b9-34729cc465d7,propernouns.date,available,5.25,6.25,48,1,12,namesilo,,
050bce95-9a72-49dc-838f-5a0b51a06a6c,makestrides.date,available,9.98,,78,1,12,namecheap,,
0536be68-09cc-4b37-a3fb-89f84d831ad0,coffeeand.date,available,9.98,,76,4,10,namecheap,,
0556e63a-be48-4e81-88d8-274e752b4277,prayers.date,premium,375,,62,11,7,name.com,,
0560ecc0-5204-478f-a86c-5095b9629fbc,coffeegrounds.date,available,9.98,,72,2,14,namecheap,,
05622b0b-68ff-420a-91c8-2fbd568974ac,tostartwith.date,available,9.98,,52,1,13,namecheap,,
0584e6d8-b198-4ac0-9e5d-7c44ad08c098,trends.date,premium,375,,60,32,6,name.com,,
05b1e69d-4637-45c6-ac6e-63748ef1f7e1,Frenchtoast.date,premium,420,70,80,7,12,namecheap,,
05b3c9d2-7220-4327-9495-d1c9caccd7f5,getphysical.date,premium,375,,80,1,12,name.com,,
05e400b8-2b3c-4ba9-8d55-0d0ad85b986d,neckandneck.date,available,9.98,,46,1,13,namecheap,,
05e4974b-20f3-478b-b10c-d787f36dfa38,threats.date,available,5.25,6.25,44,8,7,namesilo,,
0619672a-e431-4819-8c10-4f399e11dda5,VirginiaBeach.date,premium,140,35,58,9,14,namecheap,,
0619736b-fe1b-4385-9722-1a6cd793d6e6,operacake.date,available,9.98,,80,1,10,namecheap,,
064927a2-2618-4456-a2df-1a223331fc17,Igirder.date,available,9.98,,58,1,8,namecheap,,
064a4cdf-40cf-4501-9fe5-29fab81e860b,getthebestof.date,available,9.98,,69,2,15,namecheap,,
064bd644-4ac2-4bd7-bd38-dac3fd00e35e,prettiest.date,premium,625,,62,4,9,name.com,,
064efad5-1279-4a20-b05c-0f1afb245b6b,letpass.date,available,9.98,,56,1,8,namecheap,,
06b104ad-21ef-438c-a1ee-45f700b7efaf,setin.date,premium,375,,68,5,6,name.com,,
06b29fd4-67bb-4f69-a2fa-0040f6856f12,dogsick.date,available,9.98,,90,1,7,namecheap,,
06c2e3c1-65a1-4448-a97a-ba4dd5bf15c9,results.date,premium,375,,59,22,7,name.com,,
06ce8b2a-7f3d-4300-9686-453952ee3ce6,runon.date,available,9.98,,67,4,6,namecheap,,
06dfd4e2-9559-4473-bcba-7c3f80dd7fce,spellitout.date,available,9.98,,74,2,12,namecheap,,
06eab847-d217-4256-82b1-6f9d5fd8ed8a,hangup.date,premium,375,,68,5,7,name.com,,
06f6ac4f-0da1-46cb-894c-e2e73dfbcda5,arrows.date,premium,125,,52,14,6,name.com,,
06f74149-e3da-4847-a762-8138e00e5740,coffeesyrup.date,available,9.98,,80,2,12,namecheap,,
070db2f9-8376-499d-a5ba-433c271a233b,ventured.date,available,9.98,,60,6,8,namecheap,,
0710f2cb-bb8c-48a9-81fd-31821045ce47,keeppace.date,available,9.98,,74,3,9,namecheap,,
07137f45-b54a-41f0-b7fd-07e04f1510c7,surroundings.date,premium,125,,75,4,12,name.com,,
076f161c-9000-44d4-aa95-d4a7fbfe5902,paths.date,premium,375,,53,13,5,name.com,,
077ed5ea-6c27-4570-9895-5da635164b41,jobs.date,premium,375,,79,42,4,name.com,,
078b0cc5-5612-4f35-a9d7-d5d08f84e228,communities.date,premium,375,,68,19,11,name.com,,
078c71e8-3123-4d4b-9b38-1f8e2b65f41d,officeclerk.date,available,9.98,,49,1,12,namecheap,,
07a2e912-7d8c-4c74-be65-c772bcbd1c18,payoff.date,premium,375,,70,8,7,name.com,,
07aa9da8-323c-4a6c-9003-37734ef27471,owning.date,available,5.25,6.25,52,7,6,namesilo,,
07acff86-593b-489d-bdb7-ba17d09c5e09,filein.date,available,9.98,,68,2,7,namecheap,,
07db4830-76e1-43b0-8470-d0b669d6e197,scanners.date,premium,375,,53,7,8,name.com,,
07fdc1bb-548f-48da-8ac8-ab97b142cca6,introduces.date,available,9.98,,58,2,10,namecheap,,
080fd704-a798-48d8-8abf-ec5ea1610cfd,socialjustice.date,available,9.98,,68,6,14,namecheap,,
089f1b7b-c7d7-4de6-b9b5-b328d444967a,getthenod.date,available,9.98,,77,2,11,namecheap,,
08cde71f-9b62-404c-be1b-fa932c915b9b,executiveprivilege.date,available,9.98,,62,1,19,namecheap,,
08d2ea35-3fcd-4270-80cc-96a50b1b12fb,barup.date,premium,375,,82,2,6,name.com,,
